,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
0,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q16521.
  ?v2 wdt:P31 wd:Q645883;
    wdt:P710 ?v1, wd:Q625657.
}","SELECT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q16521;
    wdt:P710 wd:Q625657;
    wdt:P31 wd:Q645883.
}",wd:Q93208,-,1,,1,,,,,,,,,1
1,"SELECT DISTINCT ?v1 WHERE {
  wd:Q11835640 wdt:P674 ?v1.
  ?v1 wdt:P451 ?v2, ?v3.
  FILTER((?v2 != ?v3) && (?v1 IN(wd:Q4205826, wd:Q4463198)))
}","SELECT ?uri WHERE {
  ?uri wdt:P451 wd:Q2492923, wd:Q11714225;
    wdt:P674 wd:Q4205826.
}",wd:Q4205826,-,1,,1,,,,,,,,,1
2,"SELECT DISTINCT ?v1 WHERE {
  wd:Q860580 wdt:P112 ?v1.
  ?v1 wdt:P39 wd:Q10891456.
}","SELECT ?founder WHERE {
  ?founder wdt:P112 wd:Q860580;
    wdt:P39 wd:Q10891456.
}",wd:Q1739008,-,1,,1,,,,,,,,,1
3,"SELECT DISTINCT ?v1 WHERE {
  wd:Q696071 wdt:P50 ?v2.
  ?v2 wdt:P800 ?v1.
  ?v1 wdt:P921 wd:Q16003532.
  FILTER(?v1 != wd:Q69071)
}","SELECT ?v1 WHERE {
  ?v1 wdt:P50 wd:Q696071;
    wdt:P800 wd:Q16003532.
}",wd:Q18225473,-,1,,1,,,,,,,,,1
4,"SELECT DISTINCT ?v1 WHERE {
  wd:Q11835640 wdt:P50 ?v2.
  ?v2 wdt:P800 ?v1.
  FILTER(?v1 != wd:Q11835640)
}","SELECT ?work WHERE { 
  ?work wdt:P50 wd:Q312101 . 
  FILTER (?work != wd:Q11835640)
}","wd:Q2045474
 wd:Q2414756
 wd:Q4080260","http://www.wikidata.org/entity/Q969992
http://www.wikidata.org/entity/Q2030044
http://www.wikidata.org/entity/Q2038600
http://www.wikidata.org/entity/Q2045474
http://www.wikidata.org/entity/Q2414756
http://www.wikidata.org/entity/Q2493587
http://www.wikidata.org/entity/Q2652386
http://www.wikidata.org/entity/Q2655197
http://www.wikidata.org/entity/Q4042523
http://www.wikidata.org/entity/Q4080260
http://www.wikidata.org/entity/Q4113386
http://www.wikidata.org/entity/Q4166737
http://www.wikidata.org/entity/Q4240572
http://www.wikidata.org/entity/Q4404361
http://www.wikidata.org/entity/Q4517299
http://www.wikidata.org/entity/Q9196510
http://www.wikidata.org/entity/Q9196516
http://www.wikidata.org/entity/Q9275822
http://www.wikidata.org/entity/Q9284228
http://www.wikidata.org/entity/Q9325932
http://www.wikidata.org/entity/Q9361665
http://www.wikidata.org/entity/Q9372652
http://www.wikidata.org/entity/Q9372681
http://www.wikidata.org/entity/Q9390914
http://www.wikidata.org/entity/Q9396213
http://www.wikidata.org/entity/Q11747958
http://www.wikidata.org/entity/Q11751682
http://www.wikidata.org/entity/Q11766714
http://www.wikidata.org/entity/Q11779609
http://www.wikidata.org/entity/Q11784264
http://www.wikidata.org/entity/Q11787405
http://www.wikidata.org/entity/Q11797006
http://www.wikidata.org/entity/Q11797103
http://www.wikidata.org/entity/Q11798735
http://www.wikidata.org/entity/Q11800629
http://www.wikidata.org/entity/Q11837732
http://www.wikidata.org/entity/Q15260619
http://www.wikidata.org/entity/Q18430829
http://www.wikidata.org/entity/Q47500433
http://www.wikidata.org/entity/Q48867300
http://www.wikidata.org/entity/Q83974427
http://www.wikidata.org/entity/Q110944981
http://www.wikidata.org/entity/Q110944992
http://www.wikidata.org/entity/Q110945037
http://www.wikidata.org/entity/Q110945057
http://www.wikidata.org/entity/Q110945072",1,,1,,,,,,,,,1
5,"ASK {
  wd:Q2926117 wdt:P19 ?v1.
  wd:Q87192979 wdt:P19 ?v2.
  ?v1 (wdt:P131*) ?v3.
  ?v2 (wdt:P131*) ?v3.
  ?v3 wdt:P31 wd:Q35657.
}",SELECT ?state WHERE {    <http://www.wikidata.org/entity/Q2926117> <http://www.wikidata.org/prop/direct/P19> ?state .    <http://www.wikidata.org/entity/Q87192979> <http://www.wikidata.org/prop/direct/P19> ?state .    ?state <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/,true ,,FALSE,1,,,1,,,,,,,2
6,"SELECT DISTINCT ?v1 WHERE 
{ 
  wd:Q231121 wdt:P69 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q231121 http://www.wikidata.org/prop/direct/P69 ?result },wd:Q749884,,FALSE,,,,,,1,,,,,1
7,"SELECT DISTINCT ?v1 WHERE {
  wd:Q6711 wdt:P69 ?v1.
  ?v1 wdt:P31 wd:Q9826.
}","SELECT ?uri WHERE {
  ?uri wdt:P31 wd:Q9826;
    wdt:P69 wd:Q6711.
}",wd:Q14705485,-,1,,1,,,,,,,,,1
8,"SELECT DISTINCT ?v1 WHERE {
  wd:Q252 wdt:P36 ?v2.
  ?v2 wdt:P706 ?v1.
  ?v1 wdt:P31 wd:Q23442.
}","SELECT ?uri WHERE {
  ?uri wdt:P36 wd:Q3630;
    wdt:P706 ?island.
  ?island wdt:P31 wd:Q23442.
}",wd:Q3757,-,1,,1,,,,,,,,,1
9,"ASK
{ 
  wd:Q3208174 wdt:P400 wd:Q5014725. 
}",SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P400> <http://www.wikidata.org/entity/Q5014725> ; <http://www.wikidata.org/entity/Q3208174> },true ,,FALSE,1,,,,,,1,,,,2
